a_name,title,tempo,energy,danceability,loudness,valence,acousticness,Mood
Rascal Flatts,Bless The Broken Road,135.948,0.433,0.599,-6.336,0.384,0.693,Sad
Ryan Adams,Blue Sky Blues,111.844,0.0226,0.364,-19.517,0.0915,0.978,Sad
Sleeping At Last,Brightly,132.609,0.481,0.316,-6.798,0.0599,0.395,Sad
Joe Cocker,Bye Bye Blackbird,123.81,0.392,0.506,-12.784,0.268,0.713,Sad
Kimya Dawson,Caving In,141.963,0.406,0.517,-12.801,0.692,0.744,Sad
Nick Drake,Clothes Of Sand,118.844,0.177,0.466,-19.918,0.426,0.901,Sad
Cat Power,Colors And The Kids,116.892,0.0849,0.425,-14.838,0.157,0.935,Sad
iLiKETRAiNS,Death Is The End,116.36,0.244,0.313,-13.721,0.0387,0.868,Sad
TRUSTcompany,Deeper Into You,102.989,0.949,0.511,-3.328,0.374,0.000298,Sad
Nirvana,Dumb,113.623,0.394,0.695,-13.585,0.845,0.425,Sad
Eels,Elizabeth on the Bathroom Floor,133.659,0.0895,0.398,-21.668,0.0942,0.951,Sad
Lighthouse Family,End Of The Sky,99.997,0.705,0.579,-8.865,0.322,0.0352,Sad
The Cranberries,Fee Fi Fo,140.163,0.744,0.528,-6.504,0.509,0.119,Sad
The Music,Fight The Feeling,117.084,0.575,0.449,-5.626,0.283,0.00437,Sad
James,Five-O,124.955,0.54,0.592,-12.731,0.182,0.00371,Sad
Donavon Frankenreiter,Fool,88.381,0.406,0.754,-10.365,0.375,0.0559,Sad
Neva Dinova ,Get Back,119.744,0.402,0.434,-10.116,0.218,0.454,Sad
BBMak,Ghost Of You And Me,100.059,0.588,0.597,-6.882,0.42,0.574,Sad
Donavon Frankenreiter,Girl Like You,112.504,0.705,0.595,-6.972,0.653,0.107,Sad
Maroon 5,Goodnight Goodnight,94.999,0.684,0.582,-3.721,0.224,0.0348,Sad
PJ Harvey,Horses In My Dreams,116.714,0.128,0.586,-14.569,0.0399,0.918,Sad
Kenny Rogers,I Can't Unlove You,139.824,0.426,0.542,-7.044,0.453,0.0812,Sad
Antony ,I Was Young When I Left Home,85.907,0.176,0.436,-15.475,0.487,0.964,Sad
Josh Groban,I'll Be Home For Christmas,165.449,0.291,0.228,-13.57,0.167,0.936,Sad
Bucky Covington,I'll Walk,77.004,0.386,0.509,-7.387,0.32,0.828,Sad
JS,Ice Cream,123.004,0.62,0.804,-6.35,0.661,0.208,Sad
Guillemots,If The World Ends,99.047,0.294,0.173,-14.981,0.0932,0.727,Sad
Ghostface Killah,Josephine,95.824,0.67,0.821,-5.172,0.552,0.172,Sad
Dana Winner,Just When I Needed You Most,168.533,0.229,0.322,-13.701,0.119,0.776,Sad
Feist,Let It Die,115.89,0.208,0.434,-13.354,0.0613,0.659,Sad
Tindersticks,Let's Pretend,117.221,0.474,0.545,-9.977,0.219,0.00184,Sad
Beck,Lost Cause,119.88,0.58,0.62,-8.569,0.221,0.253,Sad
Joe Cocker,Many Rivers To Cross,125.367,0.255,0.627,-14.136,0.364,0.507,Sad
Diary of Dreams,Mask of Shame,100.005,0.247,0.642,-14.026,0.0967,0.681,Sad
Cat Power,Maybe Not,107.32,0.143,0.478,-13.82,0.16,0.987,Sad
Kristin Hersh,Me And My Charms,136.333,0.473,0.536,-10.465,0.484,0.752,Sad
Brand New,Me vs. Maradona vs. Elvis,181.75,0.251,0.484,-10.446,0.334,0.2,Sad
R.E.M.,Moon River,99.983,0.257,0.319,-11.931,0.176,0.882,Sad
Extreme,More Than Words,91.769,0.129,0.615,-14.892,0.249,0.468,Sad
Nikola Sarcevic,MY AIM IS YOU,123.678,0.409,0.54,-9.484,0.39,0.589,Sad
Cat Power,Names,166.848,0.0828,0.336,-15.212,0.0924,0.96,Sad
Terra Naomi,New Song,75.337,0.601,0.55,-5.999,0.273,0.0402,Sad
Air,New Star In The Sky,129.819,0.338,0.431,-13.174,0.108,0.561,Sad
Corinne Bailey Rae,No Love Child,100.876,0.155,0.472,-12.775,0.0534,0.877,Sad
Tindersticks,No Man In The World,115.59,0.0741,0.458,-17.84,0.118,0.86,Sad
Duran Duran,Ordinary World,140.124,0.652,0.472,-10.171,0.401,0.0131,Sad
Anberlin,Paperthin Hymn,180.434,0.597,0.298,-12.107,0.536,0.00111,Sad
El Perro Del Mar,People,117,0.373,0.559,-10.891,0.233,0.909,Sad
Air,Photograph,129.942,0.44,0.589,-13.457,0.482,0.431,Sad
Air,PLAYGROUND LOVE,142.912,0.422,0.353,-10.538,0.135,0.249,Sad
Moby,Porcelain,94.73,0.637,0.297,-7.926,0.332,0.0014,Sad
30 Seconds To Mars,R-Evolve,134.987,0.804,0.471,-6.508,0.103,0.00468,Sad
Colbie Caillat,Realize,123.95,0.607,0.699,-6.312,0.156,0.142,Sad
Noel Gallagher,Sad Song ,124.68,0.733,0.343,-2.576,0.389,0.164,Sad
Serj Tankian,Saving Us,159.97,0.84,0.445,-3.975,0.327,0.00117,Sad
Ryan Adams & The Cardinals,September,117.124,0.0753,0.378,-17.728,0.237,0.655,Sad
Black Eyed Peas,Shut Up,112.977,0.693,0.807,-3.96,0.606,0.0894,Sad
The Beach Boys,Sloop John B,125.575,0.745,0.567,-5.423,0.903,0.402,Sad
Donavon Frankenreiter,So Far Away,62.96,0.32,0.596,-8.641,0.448,0.208,Sad
Nine Inch Nails,Something I Can Never Have,108.051,0.131,0.501,-16.824,0.0391,0.815,Sad
The Velvet Underground,Stephanie Says,112.894,0.284,0.556,-14.921,0.238,0.851,Sad
Rickie Lee Jones,Stewart's Coat,124.327,0.151,0.516,-16.317,0.196,0.589,Sad
Lighthouse Family,Sun In The Night,120.388,0.288,0.568,-13.326,0.173,0.421,Sad
Low,Sunshine,109.493,0.0955,0.385,-17.717,0.047,0.77,Sad
Archive,Taste Of Blood,87.958,0.062,0.397,-15.431,0.121,0.679,Sad
Brand New,The Boy Who Blocked His Own Shot,178.266,0.498,0.415,-8.162,0.278,0.0792,Sad
Luke Bryan,The Car In Front Of Me,156.107,0.463,0.457,-6.798,0.138,0.0586,Sad
Micah P. Hinson,The Dreams You Left Behind,100.001,0.443,0.713,-8.562,0.505,0.491,Sad
Valencia,The Good Life,157.278,0.901,0.258,-3.416,0.201,0.000111,Sad
Nine Inch Nails,The Great Below,122.545,0.269,0.3,-16.825,0.0495,0.461,Sad
The Beta Band,The Hard One,133.077,0.286,0.36,-15.453,0.14,0.859,Sad
Mark Knopfler,The Last Laugh,85.26,0.199,0.527,-10.46,0.479,0.879,Sad
Sherwood,The Only Song,149.943,0.358,0.596,-10.272,0.694,0.783,Sad
Suzanne Vega,The Queen And The Soldier,147.027,0.209,0.337,-15.196,0.276,0.531,Sad
Whitesnake,The Time Is Right For Love,151.252,0.922,0.356,-5.033,0.519,0.000817,Sad
Sawyer Brown,The Walk,127.929,0.355,0.689,-11.585,0.457,0.778,Sad
Phil Collins,There's A Place For Us,119.671,0.329,0.418,-11.015,0.13,0.556,Sad
A Fine Frenzy,Think Of You,122.004,0.528,0.666,-5.867,0.238,0.407,Sad
Tindersticks,Tiny Tears,151.153,0.344,0.265,-12.55,0.117,0.131,Sad
Metallica,To Live Is To Die,104.279,0.607,0.441,-9.624,0.372,0.00031,Sad
No Doubt,Too Late,169.871,0.673,0.35,-5.189,0.268,0.594,Sad
Goran Bregovic,TV Screen,99.813,0.452,0.744,-10.567,0.327,0.488,Sad
Mazzy Star,Umbilical,79.607,0.271,0.28,-11.378,0.0414,0.045,Sad
Ben Harper,Walk Away,140.427,0.0954,0.712,-15.896,0.393,0.875,Sad
Coldplay,We Never Change,136.924,0.286,0.434,-10.803,0.122,0.533,Sad
Slut,Wednesday,73.979,0.39,0.539,-6.877,0.198,0.68,Sad
Radiohead,Weird Fishes/Arpeggi,152.999,0.61,0.538,-8.027,0.199,0.774,Sad
The Feeling,When I Return,148.003,0.74,0.459,-5.748,0.44,0.447,Sad
Farmer Boys,Where The Sun Never Shines,134.043,0.837,0.472,-4.856,0.18,0.0000384,Sad
Coldplay,Yellow,173.365,0.661,0.429,-7.227,0.285,0.00239,Sad
Breaking Benjamin,You,97.083,0.646,0.487,-6.878,0.16,0.202,Sad
The Rapture,First Gear,124.794,0.814,0.747,-7.098,0.571,0.0000225,Happy
Aerosmith,Joanie's Butterfly,131.119,0.628,0.441,-11.423,0.57,0.0628,Angry
George Jones,Accidentally on Purpose,88.256,0.241,0.573,-10.226,0.414,0.842,Relax
Edguy,The Kingdom,105.106,0.88,0.373,-6.004,0.143,0.00434,Angry
Bonnie Tyler,It's a Heartache,118.875,0.707,0.54,-5.541,0.494,0.0291,Sad
Head East,Sands of Time,91.93,0.798,0.318,-6.126,0.42,0.00767,Angry
Lucky Dube,Together As One,143.686,0.638,0.696,-6.442,0.789,0.42,Relax
Mudvayne,King of Pain,124.989,0.935,0.602,-4.802,0.202,0.000844,Angry
Chixdiggit!,Shadowy Bangers From a Shadowy Duplex,117.347,0.917,0.347,-6.984,0.531,0.000733,Happy
Annie Lennox,Why,90.941,0.471,0.531,-9.267,0.119,0.28,Sad
Queen Latifah,"Big, Blonde and Beautiful",102.021,0.829,0.646,-4.623,0.736,0.105,Happy
Grave Digger,My Blood Will Live Forever,94.941,0.988,0.363,-4.465,0.273,0.0000622,Angry
Saosin,Sleepers,183.916,0.977,0.282,-3.723,0.337,0.0000486,Angry
The Raveonettes,Somewhere in Texas,112.101,0.866,0.447,-4.302,0.239,0.00588,Relax
Alvin Youngblood Hart,Pony Blues,109.168,0.284,0.771,-11.154,0.815,0.751,Relax
Jon Anderson,Heart of the Matter,130.565,0.87,0.642,-7.789,0.804,0.173,Happy
The Bobby Fuller Four,I Fought the Law,148.959,0.804,0.593,-5.497,0.962,0.105,Angry
Colin James,Leading Me On,125.955,0.92,0.606,-4.711,0.71,0.457,Happy
The Reunion Show,Too Much,153.916,0.941,0.45,-6.888,0.464,0.0213,Happy
Nappy Roots,My Ride,117.007,0.741,0.837,-4.487,0.425,0.111,Angry
Flowing Tears,Merlin,93.683,0.925,0.506,-3.476,0.391,0.000761,Sad
Tom Verlaine,Kingdom Come,116.595,0.686,0.547,-9.751,0.833,0.107,Sad
Jane Siberry,The Lobby,169.296,0.0239,0.138,-22.678,0.0534,0.967,Angry
So Many Dynamos,New Bones,120.689,0.782,0.661,-7.687,0.791,0.0297,Angry
Building 429,Not Gonna Let You Down,116.023,0.938,0.498,-5.727,0.25,0.000324,Happy
Hypocrisy,Deathrow (No Regrets),129.95,0.481,0.224,-6.487,0.263,0.00313,Angry
Hank Snow,Your Little Band of Gold,117.316,0.419,0.545,-13.964,0.615,0.75,Relax
Laura Cantrell,Queen of the Coast,110.092,0.406,0.72,-8.675,0.508,0.506,Sad
The Meteors,In the Cards,113.508,0.9,0.479,-9.288,0.462,0.000341,Happy
John Mayer,I Don't Trust Myself (With Loving You),84.026,0.384,0.842,-11.384,0.604,0.638,Sad
War of Ages,The Fallen,122.557,0.994,0.397,-4.179,0.093,0.000044,Angry
MU330,Since the Short-long's Gone,111.862,0.986,0.341,-4.135,0.568,0.0146,Happy
Daryl Hall,Love Revelation,92.16,0.69,0.696,-8.207,0.439,0.0347,Happy
Tristan Prettyman,California Girl,85.742,0.435,0.621,-10.248,0.579,0.0814,Relax
Steve Miller Band,Don't Let Nobody Turn You Around,145.43,0.499,0.569,-16.067,0.971,0.373,Happy
Beck,Outcome,205.276,0.292,0.429,-12.067,0.305,0.857,Sad
mc chris,Falynn,94.908,0.692,0.795,-5.595,0.968,0.55,Angry
Aiden,Pledge Resistance,116.696,0.938,0.387,-5.874,0.606,0.000145,Angry
Madvillain,Rainbows,94.072,0.699,0.449,-9.277,0.408,0.049,Angry
City and Colour,The Girl,109.166,0.542,0.404,-7.578,0.183,0.837,Happy
The Clash,Up in Heaven (Not Only Here),151.88,0.888,0.435,-7.408,0.579,0.00179,Happy
The House of Love,Beatles and the Stones,103.01,0.392,0.522,-19.019,0.475,0.419,Happy
The Divine Comedy,Timestretched,138.292,0.416,0.536,-12.213,0.334,0.823,Happy
Karan Casey,You Brought Me Up,101.692,0.0685,0.579,-17.493,0.211,0.871,Relax
The Roches,Hammond Song,143.728,0.195,0.397,-11.475,0.128,0.719,Sad
Ihsahn,Misanthrope,114.773,0.979,0.234,-5.272,0.0501,0.000107,Angry
New York Dolls,Don't Start Me Talking,146.937,0.846,0.314,-9.159,0.475,0.0368,Angry
The Benjamin Gate,Lift Me Up,144.971,0.928,0.417,-4.643,0.531,0.0000205,Happy
The Flower Kings,Solitary Shell,82.481,0.231,0.238,-14.799,0.16,0.914,Relax
John Michael Talbot,Be Not Afraid,143.433,0.26,0.216,-12.797,0.186,0.857,Relax
Miley Cyrus,Obsessed,141.827,0.625,0.327,-5.301,0.17,0.00338,Happy
Korn,Break Some Off,104.043,0.873,0.591,-3.277,0.532,0.0000195,Angry
Jerry's Kids,Build Me A Bomb,159.614,0.987,0.109,-3.949,0.142,0.0486,Angry
Jeremy Fisher,Scar That Never Heals,91.427,0.852,0.621,-3.395,0.838,0.279,Sad
Damien Dempsey,Apple of My Eye,91.059,0.258,0.428,-11.399,0.165,0.793,Sad
Man Man,Van Helsing Boombox,88.59,0.614,0.542,-7.375,0.576,0.81,Angry
Above the Golden State,The Haunting,91.963,0.531,0.447,-7.812,0.31,0.0908,Sad
We Are Scientists,"Nobody Move, Nobody Get Hurt",144.012,0.969,0.47,-4.739,0.593,0.000702,Happy
Gorerotted,Horrorday in Haiti,168.51,0.988,0.225,-5.914,0.232,0.000112,Angry
New Edition,Feelin' It,95.011,0.782,0.765,-7.779,0.675,0.00351,Happy
Y & T,Don't Wanna Lose,131.171,0.887,0.546,-4.441,0.749,0.0047,Angry
Kristy Lee Cook,Baby Believe,126.757,0.591,0.543,-4.864,0.154,0.595,Relax
Less Than Jake,The Rest of My Life,194.042,0.909,0.411,-5.203,0.719,0.00808,Angry
Abrasive Wheels,Burn 'em Down,113.758,0.757,0.429,-2.365,0.662,0.00972,Angry
The Cure,I'm Cold,158.539,0.87,0.531,-4.298,0.881,0.057,Happy
Faster Pussycat,Body Thief,108.136,0.947,0.536,-8.133,0.498,0.00298,Angry
Florence and The Machine,Drumming Song,200.112,0.818,0.432,-4.77,0.485,0.00126,Angry
Travis Tritt,No Vacation From the Blues,114.093,0.768,0.663,-6.137,0.545,0.231,Sad
The Envy Corps,Party Dress,132.228,0.791,0.479,-5.238,0.434,0.00306,Happy
Spiritualized,I Want You,115.678,0.539,0.429,-13.927,0.355,0.00146,Happy
Wayne Newton,Red Roses for a Blue Lady,113.988,0.279,0.394,-11.905,0.497,0.866,Relax
Waylon Jennings,Abilene,97.691,0.256,0.571,-20.975,0.38,0.919,Relax
2Pac,Let's Get It On,183.714,0.682,0.687,-6.508,0.576,0.0339,Angry
Joan of Arc,Many Times I've Mistaken,89.474,0.518,0.442,-9.618,0.561,0.723,Sad
Hydrogyn,Vesper's Song,125.954,0.68,0.603,-7.13,0.335,0.00473,Sad
Foo Fighters,DOA,145.522,0.913,0.462,-4.298,0.72,0.000189,Angry
Tiga,Far From Home,114.982,0.739,0.812,-4.347,0.962,0.164,Relax
Devendra Banhart,"Wake Up, Little Sparrow",92.078,0.299,0.482,-13.804,0.124,0.853,Sad
Blood for Blood,She's Still a Bitch (Called Hope),133.4,0.986,0.414,-2.016,0.245,0.0104,Angry
The Strawbs,The Battle,155.954,0.425,0.421,-10.953,0.451,0.172,Angry
Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've),175.068,0.737,0.259,-11.487,0.859,0.0657,Happy
Mason Jennings,Some Say I'm Not,84.642,0.637,0.519,-6.731,0.792,0.301,Sad
Secret Sphere,Dance With the Devil,123.859,0.91,0.471,-4.364,0.438,0.000128,Angry
Two Hours Traffic,Stuck for the Summer,185.389,0.887,0.527,-4.33,0.757,0.0885,Angry
Crowbar,I Have Failed,97.436,0.79,0.393,-8.369,0.196,0.00281,Angry
Sting,Englishman in New York,102.009,0.348,0.678,-17.523,0.63,0.387,Relax
Lifer,Not Like You,162.9,0.798,0.451,-5.562,0.387,0.000141,Angry
The Insyderz,"Oh Lord, You're Beautiful",194.35,0.941,0.316,-7.126,0.837,0.000506,Happy
Our Lady Peace,Under Zenith,199.367,0.679,0.298,-7.602,0.589,0.0048,Sad
The Smithereens,Now and Then,126.303,0.874,0.532,-8.039,0.717,0.0669,Sad
Eminem,My 1st Single,170.01,0.951,0.837,-3.138,0.901,0.0596,Angry
Dennis Ferrer,Touched the Sky (feat. Mia Tuttavilla),124.982,0.759,0.68,-4.992,0.334,0.0412,Happy
Moss Icon,Moth,149.276,0.813,0.328,-5.893,0.581,0.668,Sad
Fairground Attraction,Allelujah,130.428,0.0407,0.445,-19.123,0.244,0.825,Relax
Marc Broussard,Y'all Ain't Ready,148.903,0.806,0.611,-5.363,0.942,0.337,Angry
New York Dolls,This Is Ridiculous,107.875,0.728,0.64,-6.306,0.799,0.425,Angry
The 411,China Girl,84.109,0.814,0.622,-5.647,0.839,0.103,Happy
Ed Bruce,You're the Best Break This Old Heart Ever Had,82.779,0.439,0.609,-11.921,0.574,0.516,Happy
Vital Remains,Divine in Fire,80.146,0.995,0.322,-3.525,0.11,0.000164,Angry
Jawbreaker,Ashtray Monument,164.842,0.947,0.245,-8.811,0.491,0.000214,Angry
Pearl Jam,"Push Me, Pull Me",150.483,0.954,0.345,-6.712,0.126,0.00688,Sad
Burnt by the Sun,You Will Move,133.713,0.938,0.221,-3.757,0.234,0.00015,Angry
Darren Hanlon,Fun Park Fugitives,78.645,0.181,0.548,-13.957,0.383,0.873,Happy
dEUS,Pocket Revolution,141.296,0.378,0.733,-8.538,0.371,0.0869,Sad
Laura Nyro,Blackpatch,103.322,0.255,0.491,-15.506,0.181,0.914,Relax
Lou Reed,Big Sky,125.253,0.893,0.416,-6.765,0.491,0.00822,Happy
Peter and the Test Tube Babies,Tupperware Party,96.298,0.688,0.355,-8.5,0.787,0.013,Happy
Sacramentum,Awaken Chaos,97.052,0.96,0.16,-4.967,0.0778,0.0000158,Angry
Crime Mob,Rock Yo Hips,77.492,0.667,0.847,-5.7,0.707,0.0869,Happy
The Georgia Satellites,Railroad Steel,167.781,0.964,0.324,-6.307,0.463,0.000118,Happy
Firefall,Goodbye I Love You,122.222,0.709,0.619,-9.08,0.569,0.264,Sad
Johnny Foreigner,Criminals,188.9,0.905,0.142,-3.548,0.34,0.0000318,Angry
Ronan Keating,Baby Can I Hold You,74.943,0.259,0.622,-10.872,0.235,0.783,Happy
Slayer,Read Between the Lies,90.777,0.988,0.503,-3.817,0.332,0.00128,Angry
Elvis Presley,Wonder of You,136.148,0.735,0.266,-5.863,0.442,0.421,Relax
Souls of Mischief,Secret Service,92.98,0.677,0.665,-9.178,0.477,0.0106,Angry
Econoline Crush,All That You Are,96.077,0.966,0.493,-5.967,0.767,0.0147,Angry
NOFX,You Will Lose Faith,105.944,0.991,0.535,-4.18,0.535,0.000012,Angry
Saxon,Wheels of Steel,131.374,0.783,0.539,-6.651,0.143,0.00147,Happy
Smokie,Norwegian Girl,105.818,0.408,0.554,-13.735,0.392,0.401,Relax
Blind Melon,New Life,120.535,0.636,0.52,-8.718,0.679,0.195,Happy
Roses Are Red,Running Out of Time,94.998,0.905,0.496,-4.806,0.475,0.000277,Angry
Now It's Overhead,Who's Jon,110.01,0.357,0.5,-7.616,0.0706,0.877,Sad
Helen Reddy,Ain't No Way to Treat a Lady,80.181,0.319,0.49,-14.069,0.334,0.732,Angry
Patience & Prudence,Gonna Get Along Without Ya Now,97.291,0.318,0.548,-9.028,0.708,0.763,Happy
KISS,We Are One,89.562,0.865,0.505,-4.67,0.346,0.00627,Happy
Aborym,I Reject!,109.916,0.91,0.235,-4.379,0.062,0.0000275,Angry
Rose Chronicles,Awaiting Eternity,101.771,0.0223,0.463,-7.184,0.938,0.00601,Sad
Laurie Anderson,Sweaters,90.529,0.682,0.311,-11.854,0.263,0.542,Happy
Sammy Kershaw,Queen of My Double Wide Trailer,144.313,0.798,0.609,-7.06,0.783,0.386,Relax
Nina Simone,Let It Be Me,69.456,0.119,0.31,-16.024,0.232,0.917,Sad
Paul Davis,Thinking of You,128.11,0.63,0.632,-7.03,0.753,0.19,Relax
Tracy Chapman,The Rape of the World,112.388,0.279,0.622,-13.058,0.137,0.91,Angry
Julee Cruise,In My Other World,144.027,0.294,0.43,-15.117,0.117,0.618,Happy
The Byrds,Bad Night at the Whiskey,172.253,0.437,0.305,-12.784,0.69,0.197,Sad
Quasi,Empty Words,52.511,0.597,0.139,-9.436,0.383,0.000039,Sad
Ava Inferi,Pulse of the Earth,124.008,0.764,0.493,-4.483,0.171,0.00203,Angry
Darden Smith,Talk Me Down,191.944,0.511,0.396,-10.882,0.402,0.242,Sad
Novembre,Flower,126.986,0.881,0.397,-7.669,0.151,0.0000684,Angry
Traffic,Light Up or Leave Me Alone,109.293,0.569,0.567,-11.963,0.75,0.131,Angry
The Crystal Method,Jaded,110.656,0.951,0.651,-10.899,0.228,0.00122,Angry
Hawthorne Heights,Niki FM,111.987,0.556,0.434,-6.905,0.251,0.139,Sad
CAKE,Stickshifts and Safetybelts,141.556,0.682,0.659,-9.668,0.913,0.416,Happy
King Diamond,The Candle,79.055,0.898,0.204,-12.758,0.0786,0.00595,Angry
Beverley Craven,She Doesn't Need Saving,127.351,0.423,0.452,-9.87,0.218,0.333,Sad
Midtown,To Our Savior,107.165,0.981,0.508,-3.668,0.378,0.00168,Happy
John Stevens,My Blue Heaven,121.734,0.373,0.769,-8.964,0.484,0.447,Happy
PFR,Great Lengths,128.806,0.637,0.659,-8.761,0.777,0.0947,Relax
Special Needs,Gloucester Road,151.129,0.696,0.495,-5.611,0.406,0.00039,Happy
The Orioles,Crying in the Chapel,83.494,0.269,0.296,-8.792,0.418,0.869,Sad
Groove Coverage,God Is a Girl,145.033,0.884,0.528,-5.144,0.254,0.00128,Happy
Gotye,Coming Back,127.703,0.689,0.684,-8.559,0.832,0.314,Sad
The Dickies,Going Homo,103.568,0.877,0.455,-9.946,0.266,0.000892,Happy
None More Black,You Suck! But Your Peanut Butter Is OK,96.293,0.938,0.558,-7.244,0.558,0.00453,Angry
Thierry Hazard,Le Jerk,133.339,0.941,0.74,-5.085,0.955,0.0911,Happy
Jesus Jones,Spiral,125.875,0.719,0.479,-12.408,0.183,0.00213,Angry
Nailbomb,Sum of Your Achievements,133.093,0.402,0.485,-10.852,0.168,0.0533,Angry
Stephen Duffy,A Masterpiece,120.173,0.674,0.792,-10.867,0.886,0.29,Sad
Misery Signals,On Account of an Absence,106.952,0.973,0.578,-5.071,0.243,0.000205,Angry
JK,You Make Me Feel Good,124,0.577,0.88,-8.011,0.628,0.000515,Happy
RuPaul,The Price of One (Craig C. Ruvisited),135.01,0.827,0.877,-5.444,0.851,0.00377,Happy
k-os,The Anthem,90,0.515,0.901,-4.182,0.918,0.0285,Angry
And Then There Were None,Thank the Watchmaker,146.056,0.981,0.478,-7.04,0.199,0.0126,Sad
BoDeans,Fadeaway,167.744,0.701,0.641,-14.348,0.97,0.0654,Sad
B.B. King,It's My Own Fault,69.645,0.411,0.384,-10.699,0.685,0.48,Sad
Bonded by Blood,Vengeance,165.979,0.997,0.21,-3.143,0.183,0.0000138,Angry
Strata,Daylight in the City,139.971,0.545,0.511,-7.169,0.0835,0.542,Sad
Will Young,Leave Right Now,81.988,0.456,0.639,-8.612,0.372,0.141,Sad
Kinnie Starr,Come,81.623,0.294,0.779,-10.249,0.577,0.0961,Happy
Lucille Bogan,Drinking Blues,94.902,0.0717,0.464,-12.185,0.381,0.994,Happy
Fireball Ministry,Muscle of Love,102.47,0.802,0.318,-5.508,0.709,0.000832,Happy
Onyx,Throw Ya Gunz,187.95,0.587,0.693,-11.881,0.696,0.00186,Angry
Everclear,Learning How to Smile,99.018,0.91,0.547,-4.893,0.48,0.0976,Sad
Four Year Strong,Ironic,75.654,0.812,0.195,-4.712,0.338,0.00422,Angry
A Flock of Seagulls,Nightmares,150.645,0.93,0.677,-6.7,0.712,0.204,Angry
Roy Orbison,Crying,96.685,0.293,0.35,-9.502,0.162,0.758,Sad
Silly Wizard,The Queen of Argyll,93.868,0.782,0.475,-6.343,0.844,0.752,Happy
Justin Sane,61C Days Turned to Nights,83.624,0.422,0.575,-7.236,0.377,0.739,Happy
Bernadette Peters,Time Heals Everything,88.357,0.349,0.39,-13.213,0.239,0.796,Sad
Gogol Bordello,Alcohol,109.722,0.593,0.488,-7.01,0.633,0.0618,Sad
Santana,Evil Ways,117.472,0.528,0.704,-13.382,0.73,0.22,Happy
Phil Ochs,When I'm Gone,83.079,0.0966,0.47,-19.103,0.23,0.948,Sad
The Mamas & the Papas,Do You Wanna Dance,108.767,0.339,0.592,-11.737,0.655,0.73,Happy
Himsa,Haunter,83.969,0.955,0.244,-3.615,0.126,0.0000023,Angry
Hawk Nelson,You Have What I Need,163.984,0.966,0.412,-3.823,0.359,0.0000131,Angry
Anarbor,The Brightest Green,151.958,0.855,0.546,-3.904,0.667,0.000585,Happy
Prince,Private Joy,142.545,0.335,0.82,-17.726,0.949,0.0174,Happy
Paul Anka,Can't Get Used to Losing You,186.696,0.264,0.433,-12.526,0.727,0.496,Sad
Coldplay,Rainy Day,137.994,0.677,0.376,-6.964,0.653,0.0765,Relax
Ruff Endz,Don't Stop,102.01,0.615,0.873,-5.013,0.886,0.0333,Relax
The White Stripes,Wasting My Time,75.753,0.599,0.513,-3.436,0.34,0.903,Angry
Hatebreed,Tear It Down,174.87,0.946,0.476,-4.049,0.883,0.00000363,Angry
In Fear and Faith,You Already Know You're a Goner,150.013,0.921,0.304,-3.523,0.386,0.0000252,Angry
The Hollies,Survival of the Fittest,130.143,0.74,0.609,-10.483,0.939,0.0193,Happy
Status Quo,Don't Stop,127.65,0.793,0.657,-10.767,0.759,0.108,Happy
Christopher Cross,Talking in My Sleep,104.213,0.183,0.714,-18.668,0.338,0.491,Sad
Thyrfing,A Burning Arrow,164.524,0.835,0.196,-11.373,0.207,0.0000046,Angry
Stray Cats,Rumble In Brighton,97.944,0.854,0.518,-9.823,0.813,0.145,Angry
Annie Lennox,Don't Let It Bring You Down,68.803,0.478,0.415,-6.665,0.304,0.752,Sad
Carrie Newcomer,Something Worth Fighting For,114.956,0.651,0.771,-6.368,0.454,0.109,Relax
The Coral,Dreaming of You,199.098,0.729,0.447,-6.108,0.971,0.431,Sad
Blood for Blood,Anywhere but Here (Maybe Someday),125.819,0.959,0.313,-3.932,0.493,0.000153,Angry
The Righteous Brothers,Just Once in My Life,90.224,0.398,0.258,-12.869,0.273,0.623,Sad
Loretta Lynn,Peace in the Valley,78.014,0.309,0.61,-9.948,0.29,0.674,Happy
The Pierces,I Don't Need You,139.829,0.489,0.495,-6.247,0.379,0.0435,Sad
4 Promille,Fight for Your Class,95.157,0.721,0.52,-6.947,0.812,0.0102,Angry
Third Day,My Heart,91.514,0.68,0.541,-6.524,0.487,0.0293,Happy
Glen Campbell,If Not for You,126.508,0.404,0.703,-13.888,0.76,0.357,Sad
Barry Louis Polisar,"I Can't, I Can't",113.42,0.478,0.687,-9.102,0.0845,0.0777,Angry
Nelly,St. Louie,168.825,0.634,0.857,-7.271,0.834,0.0496,Angry
LaRue,Reason,77.92,0.657,0.434,-8.274,0.285,0.0506,Sad
Liam Lynch,SOS,141.044,0.846,0.569,-2.423,0.888,0.183,Happy
Oasis,Boy With the Blues,79.044,0.797,0.412,-5.146,0.191,0.00645,Happy
Her Space Holiday,Meet the Pressure,95.02,0.498,0.714,-8.429,0.279,0.687,Sad
Luther Vandross,Heaven Knows,107.11,0.809,0.769,-9.446,0.767,0.227,Happy
Brakes,Hold Me in the River,151.073,0.905,0.395,-2.792,0.766,0.0107,Happy
